,ID_PARCEL_2022,SURF_PARC_2022,CODE_CULTU_2022,CODE_GROUP_2022,CULTURE_D1_2022,CULTURE_D2_2022,geometry,libelle_cultu_2022,CAMPAGNE_DEBUT_2022,CAMPAGNE_FIN_2022,libelle_d1_2022,libelle_d2_2022,area
1327873,8021282,1.06,MIS,2,,,"POLYGON ((441738.7170000002 6289493.2880000025, 441746.19900000095 6289481.512000002, 441737.7730000019 6289480.236000001, 441727.2899999991 6289480.102000002, 441623.0780000016 6289475.272, 441622.17500000447 6289573.888, 441661.6810000017 6289571.893000003, 441666.5710000023 6289586.450000003, 441669.36299999803 6289585.852000002, 441709.15900000185 6289574.555, 441732.29399999976 6289567.511, 441731.1429999992 6289563.666000001, 441729.7650000006 6289559.513, 441722.8810000047 6289514.548, 441737.24400000274 6289495.016000003, 441738.7170000002 6289493.2880000025))",Maïs,2015,,,,10565.067831413877
135524,817813,2.54,MIS,2,,,"POLYGON ((457516.88700000197 6312622.187000003, 457518.5230000019 6312679.385000002, 457531.93200000376 6312693.154000003, 457487.9280000031 6312723.539000001, 457486.62700000405 6312734.299000002, 457514.02899999917 6312740.366, 457545.4310000017 6312762.212000001, 457587.4970000014 6312790.331, 457633.66899999976 6312809.893000003, 457705.23600000143 6312848.892000001, 457705.9849999994 6312799.985000003, 457715.90100000054 6312755.098000001, 457719.53680000454 6312731.3596, 457514.89919999987 6312614.6765, 457516.88700000197 6312622.187000003))",Maïs,2015,,,,25433.731535720664
777645,4698519,2.57,MIS,2,,,"POLYGON ((520443.71200000495 6249918.763, 520444.68299999833 6249916.84, 520531.5980000049 6249744.688000001, 520526.813000001 6249742.1630000025, 520527.0050000027 6249740.473000001, 520527.13599999994 6249739.318, 520524.43200000376 6249736.607000001, 520508.29200000316 6249732.903000001, 520495.5920000002 6249730.521000002, 520481.83399999887 6249725.891000003, 520471.78900000453 6249721.030000001, 520470.81400000304 6249720.650000002, 520463.4450000003 6249716.102000002, 520448.10599999875 6249705.165000003, 520428.52700000256 6249685.321000002, 520428.2049999982 6249684.968000002, 520412.9930000007 6249666.871000003, 520408.1469999999 6249666.360000003, 520403.98799999803 6249669.572000001, 520342.7730000019 6249791.758000001, 520335.44000000507 6249810.617000002, 520330.02400000393 6249808.510000002, 520333.0219999999 6249811.302000001, 520333.71200000495 6249811.944000002, 520334.1180000007 6249812.418000001, 520334.34099999815 6249812.679000001, 520336.7710000053 6249815.518000003, 520442.6050000042 6249920.955000002, 520443.71200000495 6249918.763))",Maïs,2015,,,,25722.9391672484
116528,702998,3.1,MIS,2,,,"POLYGON ((556226.700000003 6234286.240000002, 556227.700000003 6234283.490000002, 556234.3000000045 6234273.32, 556257.8500000015 6234241.280000001, 556258.9400000051 6234242.290000003, 556259.2700000033 6234241.830000002, 556311.7899999991 6234290.84, 556385.5700000003 6234358.610000003, 556386.3599999994 6234359.34, 556386.25 6234359.580000002, 556386.8500000015 6234360.150000002, 556434.0200000033 6234260.530000001, 556323.5700000003 6234153.170000002, 556320.7199999988 6234151.740000002, 556317.2100000009 6234153.710000001, 556304.8100000024 6234147.790000003, 556287.0600000024 6234132.950000003, 556270.2700000033 6234137.32, 556243.7199999988 6234111.460000001, 556160.1700000018 6234201.23, 556225.3599999994 6234284.540000003, 556226.700000003 6234286.240000002))",Maïs,2015,,,,30973.997950543406
216949,1308214,1.0,MIS,2,,,"POLYGON ((732107.1829000041 6267658.3598, 732210.8997000009 6267679.658800002, 732228.4946000054 6267587.054500002, 732123.8517000005 6267565.7555, 732107.1829000041 6267658.3598))",Maïs,2015,,,,10012.393356615543
68837,414940,1.59,MIS,2,,,"POLYGON ((557878.7180000022 6290545.402000003, 557952.5920000002 6290504.954, 557858.4860000014 6290329.141000003, 557792.5469999984 6290361.876000002, 557878.7180000022 6290545.402000003))",Maïs,2015,,,,15858.368824654555
1211028,7314865,2.81,MIS,2,,,"POLYGON ((589088.1550000012 6271410.169, 589117.5530000031 6271381.314000003, 589267.065200001 6271232.8946, 589198.0882000029 6271172.251900002, 588983.7800000012 6271383.339000002, 589029.4890000001 6271429.659000002, 589045.9230000004 6271451.379000001, 589088.1550000012 6271410.169))",Maïs,2015,,,,28055.709821455406
814978,4922971,8.15,MIS,2,,,"POLYGON ((455157.62900000066 6302551.678000003, 455147.03200000525 6302433.423, 455151.3680000007 6302412.578000002, 455149.56599999964 6302387.988000002, 455240.9820000008 6302274.16, 455199.8740000054 6302237.949000001, 455121.0680000037 6302169.187000003, 455093.6960000023 6302155.527000003, 455069.25 6302155.621000003, 455021.77899999917 6302167.872000001, 454978.5780000016 6302304.938000001, 454965.4210000038 6302347.273000002, 454949.9050000012 6302394.332000002, 454944.5380000025 6302417.365000002, 454943.7950000018 6302492.381000001, 454972.0610000044 6302493.329, 454988.9580000043 6302495.175000001, 454987.36400000006 6302507.771000002, 455014.1330000013 6302510.849000003, 455013.3519999981 6302516.080000002, 455047.98799999803 6302516.358000003, 455049.325000003 6302563.707000002, 455025.1220000014 6302578.020000003, 455005.88899999857 6302577.331, 455003.6080000028 6302584.467, 454998.97100000083 6302636.541000001, 455057.9100000039 6302628.1570000015, 455081.1240000054 6302613.565000001, 455102.2110000029 6302599.967, 455154.1410000026 6302554.716000002, 455154.2480000034 6302554.623, 455154.8950000033 6302554.059, 455157.62900000066 6302551.678000003))",Maïs,2015,,,,81514.98609679051
1570594,9487935,1.9,MIS,2,,,"POLYGON ((575875.7168000042 6308972.768900003, 576040.1432000026 6309077.403900001, 576115.693400003 6308964.4799000025, 576053.8969999999 6308955.7200000025, 576014.5923999995 6308947.558900002, 575984.7987000048 6308936.0447, 575925.587000005 6308914.714000002, 575875.7168000042 6308972.768900003))",Maïs,2015,,,,19031.483090710815
446995,2697055,2.99,MIS,2,,,"POLYGON ((543229.1070000008 6329415.833000001, 543235.6700000018 6329407.427000001, 543081.4651000053 6329252.368800003, 543055.9092999995 6329273.183600001, 543034.0929000005 6329288.3299, 543019.8800000027 6329304.268000003, 543005.627000004 6329310.68, 542987.887000002 6329325.363000002, 542981.4959999993 6329341.210000001, 542983.1598000005 6329354.994200002, 542998.431400001 6329367.757400002, 543011.2578999996 6329377.594700001, 543018.7374000028 6329378.815200001, 543137.8104000017 6329494.189200003, 543229.6812000051 6329416.452400003, 543229.1070000008 6329415.833000001))",Maïs,2015,,,,29897.903433176063
