,ID_PARCEL_2022,SURF_PARC_2022,CODE_CULTU_2022,CODE_GROUP_2022,CULTURE_D1_2022,CULTURE_D2_2022,geometry,libelle_cultu_2022,CAMPAGNE_DEBUT_2022,CAMPAGNE_FIN_2022,libelle_d1_2022,libelle_d2_2022,area
724573,4379084,1.48,TRN,6,,,"POLYGON ((543221.7639999986 6324946.9771, 543222.4420000017 6324947.827800002, 543224.7710000053 6324950.807, 543226.925999999 6324953.530000001, 543234.8321999982 6324947.8068, 543240.5100000054 6324941.127, 543247.7080000043 6324928.432, 543257.1310000047 6324912.334000003, 543261.1992999986 6324908.011800002, 543262.5240000039 6324904.201000001, 543264.0199000016 6324905.015000001, 543265.5080000013 6324903.434, 543266.1977000013 6324903.692600001, 543280.7230000049 6324884.265000001, 543326.7199999988 6324855.156000003, 543504.9070000052 6324797.478, 543514.7419999987 6324797.396000002, 543540.4530000016 6324792.489, 543563.8360000029 6324782.91, 543567.8170000017 6324781.442000002, 543583.8640000001 6324775.527000003, 543613.3730000034 6324764.174000002, 543648.824000001 6324750.945, 543658.2030000016 6324746.063000001, 543657.1160000041 6324743.990000002, 543653.824000001 6324739.564000003, 543644.1389999986 6324723.859000001, 543637.7250000015 6324711.556000002, 543634.1388000026 6324702.460900001, 543628.9906000048 6324704.398400001, 543628.7694000006 6324703.837500002, 543610.8677000031 6324711.566400003, 543577.5029999986 6324726.7084, 543577.3482000008 6324726.775700003, 543556.9302000031 6324735.296700001, 543556.8973999992 6324735.3103, 543550.6253999993 6324737.8803, 543550.4158999994 6324737.961200003, 543550.0769000053 6324738.084200002, 543549.7638000026 6324738.1873, 543524.760800004 6324745.5973000005, 543524.5960000008 6324745.643400002, 543509.7172000036 6324749.553800002, 543491.0392000005 6324757.875600003, 543481.5530000031 6324763.524300002, 543481.5240999982 6324763.5414, 543471.6388000026 6324769.3466, 543463.987999998 6324774.234200001, 543441.8751000017 6324788.3605, 543436.256900005 6324792.552300002, 543429.6081000045 6324801.0298000015, 543424.5455000028 6324807.777700003, 543423.7741999999 6324808.6105, 543417.9822000042 6324813.694500003, 543416.2895999998 6324814.709100001, 543408.193599999 6324817.7531, 543407.5062000006 6324817.9615, 543402.3805000037 6324819.1559000015, 543382.2302000001 6324823.851500001, 543377.4543000013 6324824.964500003, 543376.9737000018 6324825.054200001, 543376.5182000026 6324825.1184, 543360.5182000026 6324827.369400002, 543359.7978000045 6324827.422800001, 543343.3546000049 6324827.559700001, 543323.245099999 6324831.403700002, 543318.7815000042 6324833.454600003, 543313.8040999994 6324835.742000002, 543281.8253000006 6324851.896300003, 543270.190200001 6324860.5413000025, 543263.2151999995 6324869.539500002, 543244.6847000048 6324898.583300002, 543224.6768999994 6324941.8072, 543224.9465000033 6324942.145500001, 543221.7639999986 6324946.9771))",Tournesol,2015,,,,14795.003585070206
1238046,7477997,3.86,TRN,6,,,"POLYGON ((500173.0249999985 6271763.503000002, 500187.8030000031 6271864.235000003, 500207.6410000026 6271863.352000002, 500248.12099999934 6271860.177000001, 500350.9120000005 6271852.372000001, 500402.6400000006 6271848.535, 500452.73099999875 6271844.036000002, 500451.18900000304 6271828.159000002, 500445.1950000003 6271784.983000003, 500441.1579999998 6271760.7880000025, 500452.02700000256 6271759.938000001, 500453.5710000023 6271732.119000003, 500454.1050000042 6271715.870000001, 500454.1649999991 6271714.045000002, 500421.5780000016 6271713.400000002, 500362.6649999991 6271709.166000001, 500304.80900000036 6271701.405000001, 500304.15900000185 6271700.808000002, 500298.126000002 6271701.294, 500245.75400000066 6271699.381000001, 500245.69700000435 6271711.291000001, 500248.0452000052 6271724.911700003, 500168.06159999967 6271738.8682, 500173.0249999985 6271763.503000002))",Tournesol,2015,,,,38555.311742313876
450371,2717353,2.8,TRN,6,,,"POLYGON ((562262.3470000029 6243689.447000001, 562244.3599999994 6243695.987, 562246.252000004 6243700.746000003, 562189.2679999992 6243729.926000003, 562162.3790000007 6243722.310000002, 562105.4329999983 6243736.578000002, 562053.1050000042 6243761.733000003, 562083.3280000016 6243844.686000001, 562105.3610000014 6243851.485000003, 562126.4420000017 6243854.277000003, 562166.3339999989 6243848.91, 562224.1220000014 6243834.473000001, 562238.5160000026 6243830.807, 562233.4189999998 6243805.918000001, 562249.5590000004 6243796.923, 562258.2899999991 6243788.985000003, 562266.2280000001 6243779.328000002, 562282.2789999992 6243765.879000001, 562292.5390000045 6243758.387000002, 562300.9940000027 6243753.2870000005, 562304.8339999989 6243752.498, 562341.8350000009 6243745.620000001, 562333.3409999982 6243675.866, 562332.6719999984 6243675.748, 562333.311999999 6243674.586000003, 562281.1319999993 6243685.478, 562271.4750000015 6243687.198000003, 562262.3470000029 6243689.447000001))",Tournesol,2015,,,,28048.4282294665
1074559,6494351,5.58,TRN,6,,,"POLYGON ((574026.9307999983 6342788.076500002, 574141.0240000039 6342843.520000003, 574150.7740000039 6342848.022400003, 574344.569400005 6342937.513900001, 574345.5366000012 6342933.5185, 574346.0605000034 6342931.3541, 574361.2564999983 6342868.579700001, 574379.5179999992 6342792.718000002, 574381.2617000043 6342784.379300002, 574384.7107999995 6342772.730300002, 574386.8053000048 6342765.485000003, 574391.9795000032 6342747.937400002, 574395.1818000004 6342736.4406, 574397.6965000033 6342727.580400001, 574396.5204000026 6342728.0616, 574396.7233000025 6342727.3466, 574392.1513999999 6342722.9932, 574391.9575000033 6342722.737400003, 574391.8546000049 6342722.433400001, 574383.6603000015 6342673.254700001, 574383.6939999983 6342672.7863, 574383.7973000035 6342672.462700002, 574385.0588999987 6342671.798700001, 574385.1079000011 6342671.645200003, 574350.6272 6342654.4048000015, 574348.1627000049 6342656.9628, 574334.1209999993 6342667.254000001, 574325.9299999997 6342673.387000002, 574313.1680000052 6342680.016000003, 574302.7890000045 6342683.650000002, 574283.25 6342687.479000002, 574260.6193000004 6342691.222100001, 574255.2950000018 6342692.1027000025, 574232.6322000027 6342695.013900001, 574217.876500003 6342697.3456000015, 574201.1099000052 6342702.099200003, 574198.1603000015 6342703.171600003, 574170.985799998 6342713.051900003, 574140.1156000048 6342726.026800003, 574113.6873000041 6342736.241500001, 574032.2956999987 6342770.4285, 574023.8478000015 6342776.8574, 574022.1623999998 6342778.651000001, 574020.082100004 6342780.864800002, 574017.5768000036 6342783.5309000015, 574025.1423000023 6342787.207400002, 574026.9307999983 6342788.076500002))",Tournesol,2015,,,,55774.33798847228
553066,3339873,1.97,TRN,6,,,"POLYGON ((513336.12680000067 6267519.562000003, 513303.62440000474 6267520.257800002, 513289.17650000006 6267511.9755000025, 513279.3869000003 6267510.388, 513174.08100000024 6267572.331, 513091.8720000014 6267582.513, 513028.0322000012 6267605.034000002, 512967.4425000027 6267628.582000002, 512969.0300000012 6267651.336200003, 512972.075000003 6267668.996000003, 513093.9136000052 6267623.554900002, 513108.8020000011 6267649.672000002, 513151.5980000049 6267635.351, 513202.7810000032 6267624.1679, 513259.9060000032 6267599.43, 513282.4270000011 6267581.852000002, 513336.12680000067 6267519.562000003))",Tournesol,2015,,,,19683.575526090455
363461,2195648,0.94,TRN,6,,,"POLYGON ((505801.8599999994 6228100.839000002, 505809.811999999 6228210.529000003, 505888.8969999999 6228192.572000001, 505901.7870000005 6228090.497000001, 505801.8599999994 6228100.839000002))",Tournesol,2015,,,,9442.183929620624
1044149,6310101,1.0,TRN,6,,,"POLYGON ((619264.7749999985 6290123.194000002, 619265.987999998 6290117.690000001, 619274.1190000027 6290091.419, 619280.1389999986 6290058.742000002, 619279.9690000042 6290038.494000003, 619279.8967000023 6290035.211800002, 619237.1809 6290010.218200002, 619216.1484000012 6290061.468500003, 619179.8703000024 6290142.3948, 619179.8822000027 6290142.403700002, 619194.3007000014 6290153.2190000005, 619208.2522 6290164.0484, 619222.2793999985 6290173.267700002, 619248.4213000014 6290186.170200001, 619264.7749999985 6290123.194000002))",Tournesol,2015,,,,9954.942866235078
214229,1291999,3.38,TRN,6,,,"POLYGON ((532611.8620000035 6290306.332000002, 532598.4039999992 6290309.765000001, 532522.6810000017 6290350.23, 532519.6050000042 6290352.0380000025, 532549.7330000028 6290398.448000003, 532467.4519999996 6290435.935000002, 532433.8900000006 6290451.055, 532393.9790000021 6290471.819000002, 532350.0960000008 6290501.312000003, 532416.686999999 6290589.1570000015, 532449.2679999992 6290565.691, 532452.8910000026 6290562.892000001, 532463.9739999995 6290553.896000002, 532491.6840000004 6290531.401000001, 532571.1460000053 6290468.707000002, 532624.3280000016 6290426.319000002, 532633.9020000026 6290419.516000003, 532648.3320000023 6290409.387000002, 532660.9589999989 6290402.109000001, 532672.1389999986 6290392.676000003, 532679.5570000038 6290382.515000001, 532684.6050000042 6290376.889000002, 532658.1579999998 6290346.41, 532611.8620000035 6290306.332000002))",Tournesol,2015,,,,33750.3029672955
1233072,7448069,1.79,TRN,6,,,"POLYGON ((542424.245099999 6280334.432700001, 542555.1816000044 6280539.217500001, 542567.2820000052 6280535.394000001, 542635.8030000031 6280512.867000002, 542696.0710000023 6280439.622000001, 542595.9747999981 6280385.1204, 542521.6328000054 6280465.116100002, 542442.0350000039 6280330.261, 542424.245099999 6280334.432700001))",Tournesol,2015,,,,17865.731777568308
1273989,7693404,20.03,TRN,6,,,"POLYGON ((626183.0359999985 6244515.328000002, 626231.7770000026 6244596.4810000025, 626251.6723000035 6244630.805300001, 626254.6410000026 6244635.927000001, 626308.7894999981 6244724.4166, 626308.7908999994 6244724.417000003, 626390.380400002 6244681.9822, 626390.3808000013 6244681.9810000025, 626390.3808000013 6244681.980700001, 626390.3822000027 6244681.9813, 626393.0335000008 6244680.602300003, 626396.631900005 6244678.909000002, 626396.6319999993 6244678.909000002, 626479.8166000023 6244634.459100001, 626479.817200005 6244634.459200002, 626534.7177999988 6244733.978600003, 626534.7177000046 6244733.979200002, 626534.3313000053 6244734.223500002, 626509.5512000024 6244749.890700001, 626463.2326000035 6244779.176900003, 626468.0861000046 6244785.695900001, 626468.0874000043 6244785.6961, 626468.0895000026 6244785.694900002, 626468.0892000049 6244785.6963, 626507.623800002 6244838.7667, 626507.6257000044 6244838.769200001, 626508.146800004 6244839.468700003, 626508.1467000023 6244839.469300002, 626477.4887000024 6244863.271000002, 626462.8840000033 6244874.9125000015, 626462.883600004 6244874.9130000025, 626462.7441000044 6244875.3506000005, 626462.7441999987 6244875.351300001, 626471.5310000032 6244893.171, 626487.6420000046 6244925.148000002, 626492.8672000021 6244935.599200003, 626492.867899999 6244935.599800002, 626493.8308999985 6244935.8411, 626493.8317000046 6244935.8409, 626503.6171000004 6244929.116300002, 626503.6172000021 6244929.1162, 626518.0658000037 6244920.737400003, 626518.0659000054 6244920.737300001, 626534.1696000025 6244915.709100001, 626534.1697000042 6244915.709000003, 626544.9047000036 6244910.526100002, 626544.9048000053 6244910.526100002, 626554.8266000003 6244908.9386, 626567.7911000028 6244906.557300001, 626567.7912000045 6244906.557300001, 626580.6384000033 6244905.642900001, 626580.6387000009 6244905.642800003, 626590.7045999989 6244900.605300002, 626590.7048000023 6244900.6052, 626608.9013999999 6244888.5297, 626608.9015000015 6244888.529600002, 626622.9958000034 6244880.473100003, 626636.7153000012 6244872.2938, 626636.7154000029 6244872.293700002, 626646.3726000041 6244865.679100003, 626653.2681000009 6244860.350200001, 626666.4365000054 6244851.2842000015, 626681.5310000032 6244843.236900002, 626681.5310000032 6244843.2368, 626691.880900003 6244836.574900001, 626691.8810000047 6244836.574900001, 626701.5383000001 6244829.828000002, 626709.7198000029 6244824.104800001, 626709.7199000046 6244824.104700003, 626728.8426000029 6244813.0386000015, 626738.9086000025 6244808.0009, 626738.9087999985 6244808.000800002, 626754.0031000003 6244796.851400003, 626754.003200002 6244796.851300001, 626775.1447999999 6244786.7853000015, 626793.2674999982 6244779.7381, 626793.2675999999 6244779.7381, 626812.390200004 6244768.671800002, 626825.7313999981 6244761.799600001, 626825.7317000031 6244761.7982, 626823.1146000028 6244757.764000002, 626823.1143999994 6244757.763700001, 626803.4561000019 6244741.509600002, 626803.4560000002 6244741.509500001, 626772.5526000038 6244712.9344, 626751.9680000022 6244692.455600001, 626740.2854000032 6244679.824700002, 626738.7124000043 6244678.124000002, 626738.7123000026 6244678.1239, 626734.188000001 6244672.611900002, 626725.9329999983 6244660.970200002, 626720.2179000005 6244652.5035, 626711.4602000043 6244636.584400002, 626708.3646000028 6244630.4901, 626702.0675000027 6244615.938000001, 626702.0675000027 6244615.937900003, 626697.9589999989 6244608.097000003, 626682.6340000033 6244572.169, 626677.1070000008 6244557.599000003, 626676.0090000033 6244555.1413, 626671.8310000002 6244545.790000003, 626659.8969999999 6244521.042000003, 626647.3360000029 6244493.658, 626635.7780000046 6244465.895000003, 626624.0960000008 6244440.143000003, 626620.7040000036 6244432.355, 626616.8090000004 6244423.812100001, 626616.8090000004 6244423.812000003, 626599.2221000046 6244393.5380000025, 626599.2220000029 6244393.537900001, 626593.1920000017 6244384.996000003, 626579.875 6244367.911000002, 626566.4171000049 6244351.1261, 626566.4169000015 6244351.1259, 626544.9530000016 6244335.501000002, 626510.2810000032 6244311.507000003, 626479.7113000005 6244288.4362, 626479.7111000046 6244288.436100002, 626477.1717000008 6244287.378000002, 626477.1708000004 6244287.378000002, 626474.8429000005 6244288.647800002, 626406.8929999992 6244326.330000002, 626372.627000004 6244346.686000001, 626299.4870000035 6244379.9700000025, 626299.4869000018 6244379.9700000025, 626291.1960000023 6244384.367000002, 626257.5289999992 6244405.094900001, 626257.5289000049 6244405.0950000025, 626225.6220000014 6244426.953000002, 626174.8690000027 6244462.379000001, 626156.9378000051 6244474.376500003, 626156.9376000017 6244474.377800003, 626183.0359999985 6244515.328000002))",Tournesol,2015,,,,200286.24998547893
